Rank,Player,Team,Pos.,PPR,Std,Age,PassAtt,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
315,Breece Hall,NYJ,RB,242.35999999999999,215.35999999999999,25.0,0.0,19.0,3.0,0.0,27.0,346.0,4.0,240.0,1080.0,6.0
316,Braelon Allen,NYJ,RB,90.5,76.5,22.0,0.0,0.0,0.0,0.0,14.0,95.0,0.0,72.0,310.0,6.0
317,Isaiah Davis,NYJ,RB,84.2,57.2,24.0,0.0,0.0,0.0,0.0,27.0,192.0,0.0,48.0,260.0,2.0
318,Kenyon Sadiq,NYJ,TE,80.4,53.4,21.0,0.0,0.0,0.0,0.0,27.0,294.0,4.0,0.0,0.0,0.0
319,Mason Taylor,NYJ,TE,94.2,51.2,22.0,0.0,0.0,0.0,0.0,43.0,392.0,2.0,0.0,0.0,0.0
320,Jeremy Ruckert,NYJ,TE,47.5,29.5,26.0,0.0,0.0,0.0,0.0,18.0,175.0,2.0,0.0,0.0,0.0
321,Garrett Wilson,NYJ,WR,187.1,119.1,26.0,0.0,0.0,0.0,0.0,68.0,771.0,7.0,0.0,0.0,0.0
322,Omar Cooper Jr.,NYJ,WR,114.9,73.9,22.0,0.0,0.0,0.0,0.0,41.0,484.0,4.0,0.0,15.0,0.0
323,Adonai Mitchell,NYJ,WR,74.0,47.0,23.0,0.0,0.0,0.0,0.0,27.0,350.0,2.0,0.0,0.0,0.0
324,Tim Patrick,NYJ,WR,47.3,33.3,32.0,0.0,0.0,0.0,0.0,14.0,213.0,2.0,0.0,0.0,0.0
325,Isaiah Williams,NYJ,WR,54.8,27.799999999999997,25.0,0.0,0.0,0.0,0.0,27.0,214.0,0.0,0.0,64.0,0.0
326,Jalen Hurts,PHI,QB,364.5,364.5,28.0,467.0,3660.0,37.0,9.0,0.0,0.0,0.0,104.0,401.0,8.0
327,Andy Dalton,PHI,QB,1.92,1.92,38.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
328,Saquon Barkley,PHI,RB,233.5,200.5,29.0,0.0,0.0,0.0,0.0,33.0,259.0,2.0,279.0,1146.0,8.0
329,Tank Bigsby,PHI,RB,68.4,68.4,23.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,80.0,462.0,3.0
330,Will Shipley,PHI,RB,27.7,13.7,23.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,16.0,67.0,0.0
331,Dallas Goedert,PHI,TE,188.9,133.9,31.0,0.0,0.0,0.0,0.0,55.0,559.0,13.0,0.0,0.0,0.0
332,Eli Stowers,PHI,TE,74.6,47.6,23.0,0.0,0.0,0.0,0.0,27.0,296.0,3.0,0.0,0.0,0.0
333,Grant Calcaterra,PHI,TE,34.2,20.2,27.0,0.0,0.0,0.0,0.0,14.0,82.0,2.0,0.0,0.0,0.0
334,DeVonta Smith,PHI,WR,171.7,104.7,27.0,0.0,0.0,0.0,0.0,67.0,807.0,4.0,0.0,0.0,0.0
335,Makai Lemon,PHI,WR,115.0,74.0,22.0,0.0,0.0,0.0,0.0,41.0,485.0,4.0,0.0,15.0,0.0
336,Marquise Brown,PHI,WR,132.4,91.4,29.0,0.0,0.0,0.0,0.0,41.0,554.0,6.0,0.0,0.0,0.0
337,Dontayvion Wicks,PHI,WR,74.1,47.1,25.0,0.0,0.0,0.0,0.0,27.0,335.0,2.0,0.0,16.0,0.0
338,Elijah Moore,PHI,WR,51.3,37.3,26.0,0.0,0.0,0.0,0.0,14.0,196.0,0.0,16.0,57.0,2.0
339,Aaron Rodgers,PIT,QB,274.12,274.12,42.0,525.0,3863.0,30.0,10.0,0.0,0.0,0.0,15.0,76.0,2.0
340,Mason Rudolph,PIT,QB,0.15999999999999998,0.15999999999999998,31.0,8.0,49.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
341,Rico Dowdle,PIT,RB,200.9,173.9,28.0,0.0,0.0,0.0,0.0,27.0,240.0,2.0,224.0,1019.0,6.0
342,Jaylen Warren,PIT,RB,224.6,185.6,27.0,0.0,0.0,0.0,0.0,39.0,291.0,2.0,208.0,965.0,8.0
